DENOM_CIA,ano,lucro_liquido,ativos_totais,ROA,pais
Ero Copper Corp,2021,202632.0,689762.0,29.37708948883818,3
Ero Copper Corp,2021,202632.0,689762.0,29.37708948883818,3
Enghouse Systems Limited,2021,92794.0,30366.0,305.5851939669367,3
Tourmaline Oil Corp,2021,2025991.0,15292093.0,13.248618093023628,3
Keyera Corp,2021,324206.0,8130306.0,3.987623590059218,3
Advantage Energy Ltd,2022,337761.0,2216958.0,15.235335987420601,3
Agnico Eagle Mines Limited,2022,670249.0,23494808.0,2.8527536807280995,3
B2Gold Corp,2022,0.0,0.0,,3
Birchcliff Energy Ltd,2022,656831.0,3169365.0,20.72437223229259,3
"Brookfield Business Partners L ,P",2022,240.0,18294.0,1.3119055428009183,3
Cameco Corporation,2022,89264.0,8632793.0,1.0340106614394668,3
Canfor Corporation,2022,861.1,6739.2,12.777481006647673,3
Capital Power Corporation,2022,128.0,10135.0,1.262950172668969,3
Celestica Inc,2022,145.5,5628.0,2.5852878464818763,3
Dundee Precious Metals Inc,2022,35923.0,1157254.0,3.1041586376024624,3
Ero Copper Corp,2022,103067.0,1188076.0,8.67511842676731,3
Ero Copper Corp,2022,103067.0,392427.0,26.263993048388617,3
Freehold Royalties Ltd,2022,0.0,0.0,,3
Corridor Resources Inc,2022,162109.0,734742.0,22.063390959003296,3
Imperial Oil Limited,2022,734.0,43524.0,1.686425879974267,3
Interfor Corporation,2022,598239.0,3619833.0,16.526701646180918,3
Loblaw Companies Limited,2022,1994.0,38147.0,5.227147613180591,3
Magna International Inc,2022,641.0,27789.0,2.3066681060851417,3
Methanex Corporation,2022,462288.0,6631480.0,6.971113537249603,3
MTY Food Group Inc,2022,75179.0,2325303.0,3.233084032489529,3
NOVAGOLD RESOURCES INC,2022,-53343.0,159189.0,-33.509224883628896,3
Nutrien Ltd,2022,7687.0,54586.0,14.082365441688344,3
PrairieSky Royalty Ltd,2022,317.5,3415.4,9.296129296714879,3
SANDSTORM GOLD LTD,2022,7845.0,1974777.0,0.39726004505825213,3
Shopify Inc,2022,,10757151.0,,3
SNC-Lavalin Group Inc,2022,129.0,9459986.0,0.0013636383817058504,3
Spin Master Corp,2022,261.3,1792.5,14.577405857740585,3
Suncor Energy Inc,2022,9077.0,84618.0,10.72703207355409,3
Suncor Energy Inc,2022,9077.0,84618.0,10.72703207355409,3
Tamarack Valley Energy Ltd,2022,345198.0,4619701.0,7.472301778838069,3
TC Energy Corporation,2022,785.0,7332.0,10.706492089470814,3
Topaz Energy Corp,2022,99355.0,1835732.0,5.41228240287798,3
Constellation Software Inc_,2022,551.0,7882.0,6.990611519918802,3
GFL Environmental Inc,2022,-311.1,19767.6,-1.5737874097007227,3
CAE Inc_,2022,150.0,9578.8,1.565958157598029,3
Jamieson Wellness Inc_,2022,52808.0,1107263.0,4.769237299539495,3
Suncor Energy Inc,2022,9077.0,84618.0,10.72703207355409,3
Suncor Energy Inc,2022,9077.0,84618.0,10.72703207355409,3
Dollarama Inc,2022,663169.0,4063562.0,16.31989372870403,3
The North West Company Inc,2022,157451.0,1219273.0,12.913514856804015,3
NexGen Energy Ltd,2022,-60268.0,55456.0,-108.67714945181766,3
Boralex Inc,2022,8.0,6539.0,0.12234286588163328,3
